
02/07/2020, 14:07:58.659,BOOT UP, $0.00 , $ 0.00
02/07/2020, 14:08:15.817 , DEPOSIT , $0.00 , $10.00
02/07/2020, 14:08:22.262 , Stackers , $10.00 , $8.55
02/07/2020, 14:08:24.563 , Stackers , $8.55 , $7.10
02/07/2020, 14:08:26.047 , Stackers , $7.10 , $5.65
02/07/2020, 14:08:27.394 , Stackers , $5.65 , $4.20
02/07/2020, 14:08:29.423 , Stackers , $4.20 , $2.75
02/07/2020, 14:08:47.412 , GIVE CHANGE , $2.75 , $0.00
02/07/2020, 14:17:28.326,BOOT UP, $0.00 , $ 0.00
02/07/2020, 14:19:13.824,BOOT UP, $0.00 , $ 0.00
02/07/2020, 14:19:25.541,BOOT UP, $0.00 , $ 0.00
02/07/2020, 14:19:55.585,BOOT UP, $0.00 , $ 0.00
02/07/2020, 14:20:13.292,BOOT UP, $0.00 , $ 0.00
02/07/2020, 14:21:06.379,BOOT UP, $0.00 , $ 0.00
02/07/2020, 14:22:14.204 , DEPOSIT , $0.00 , $2.00
02/07/2020, 16:38:45.273,BOOT UP, $0.00 , $ 0.00
02/07/2020, 16:39:10.602 , DEPOSIT , $0.00 , $10.00
02/07/2020, 16:39:19.620 , Triplemint , $10.00 , $9.25
02/07/2020, 16:39:25.076 , Triplemint , $9.25 , $8.50
02/07/2020, 16:39:42.567 , Triplemint , $8.50 , $7.75
02/07/2020, 16:39:46.905 , Triplemint , $7.75 , $7.00
02/07/2020, 16:39:49.632 , Triplemint , $7.00 , $6.25
02/07/2020, 16:39:51.450 , GIVE CHANGE , $6.25 , $0.00
02/07/2020, 16:39:59.945 , DEPOSIT , $0.00 , $10.00
02/07/2020, 16:40:11.207 , GIVE CHANGE , $10.00 , $0.00
02/07/2020, 16:41:20.422,BOOT UP, $0.00 , $ 0.00
02/08/2020, 08:21:37.917,BOOT UP, $0.00 , $ 0.00
02/08/2020, 08:22:23.104 , DEPOSIT , $0.00 , $1.00
02/08/2020, 08:22:32.913 , GIVE CHANGE , $1.00 , $0.00
02/08/2020, 13:46:30.957,BOOT UP, $0.00 , $ 0.00
02/08/2020, 13:46:46.461 , GIVE CHANGE , $0.00 , $0.00
02/08/2020, 13:48:21.448,BOOT UP, $0.00 , $ 0.00
02/08/2020, 22:02:43.321,BOOT UP, $0.00 , $ 0.00
02/08/2020, 22:03:46.365 , DEPOSIT , $0.00 , $2.00
02/08/2020, 22:04:37.636 , Moonpie , $2.00 , $0.20
02/08/2020, 22:04:51.158 , GIVE CHANGE , $0.20 , $0.00
02/09/2020, 12:34:20.499,BOOT UP, $0.00 , $ 0.00
02/09/2020, 12:35:40.697 , DEPOSIT , $0.00 , $1.00
02/09/2020, 12:36:20.751 , DEPOSIT , $1.00 , $11.00
02/09/2020, 12:36:25.997 , Cloud Popcorn , $11.00 , $7.35
02/09/2020, 12:36:59.102 , Wonka Bar , $7.35 , $5.85
02/09/2020, 18:31:31.800 , DEPOSIT , $0.00 , $2.00
02/09/2020, 18:31:31.805 , TestChip , $5.00 , $4.00
02/09/2020, 18:32:28.954 , DEPOSIT , $0.00 , $2.00
02/09/2020, 18:32:28.960 , TestChip , $5.00 , $4.00
02/09/2020, 18:34:52.691 , DEPOSIT , $0.00 , $2.00
02/09/2020, 18:34:52.696 , TestChip , $5.00 , $4.00
02/09/2020, 18:37:37.697 , DEPOSIT , $0.00 , $2.00
02/09/2020, 18:37:37.704 , TestChip , $5.00 , $4.00
02/09/2020, 18:37:47.333 , DEPOSIT , $0.00 , $2.00
02/09/2020, 18:37:47.338 , TestChip , $5.00 , $4.00
02/09/2020, 18:38:13.651 , DEPOSIT , $0.00 , $2.00
02/09/2020, 18:38:13.657 , TestChip , $5.00 , $4.00
02/09/2020, 18:45:31.114 , DEPOSIT , $0.00 , $2.00
02/09/2020, 18:45:31.120 , TestChip , $5.00 , $4.00
02/09/2020, 18:45:31.125 , GIVE CHANGE , $0.40 , $0.00
02/09/2020, 18:45:51.465 , DEPOSIT , $0.00 , $2.00
02/09/2020, 18:45:51.471 , TestChip , $5.00 , $4.00
02/09/2020, 18:45:51.476 , GIVE CHANGE , $0.40 , $0.00
02/09/2020, 19:05:52.871,BOOT UP, $0.00 , $ 0.00
02/09/2020, 19:06:05.604 , DEPOSIT , $0.00 , $5.00
02/09/2020, 19:07:36.199,BOOT UP, $0.00 , $ 0.00
02/09/2020, 19:09:21.421,BOOT UP, $0.00 , $ 0.00
02/09/2020, 19:09:29.303 , DEPOSIT , $0.00 , $5.00
02/09/2020, 19:13:43.768,BOOT UP, $0.00 , $ 0.00
02/09/2020, 19:13:51.032 , DEPOSIT , $0.00 , $10.00
02/09/2020, 19:17:15.964,BOOT UP, $0.00 , $ 0.00
02/09/2020, 19:17:24.605 , GIVE CHANGE , $0.00 , $0.00
02/09/2020, 19:17:31.740 , DEPOSIT , $0.00 , $2.00
02/09/2020, 19:18:17.595 , DEPOSIT , $2.00 , $3.00
02/09/2020, 19:18:37.328 , Grain Waves , $3.00 , $0.25
02/09/2020, 19:18:43.487 , GIVE CHANGE , $0.25 , $0.00
02/09/2020, 20:09:49.422,BOOT UP, $0.00 , $ 0.00
02/09/2020, 20:16:01.242 , DEPOSIT , $0.00 , $2.00
02/09/2020, 20:16:01.248 , TestChip , $5.00 , $4.00
02/09/2020, 20:16:01.273 , GIVE CHANGE , $0.40 , $0.00
02/09/2020, 20:18:10.459 , DEPOSIT , $0.00 , $2.00
02/09/2020, 20:18:10.466 , TestChip , $5.00 , $4.00
02/09/2020, 20:18:10.482 , GIVE CHANGE , $0.40 , $0.00
02/09/2020, 20:18:19.173,BOOT UP, $0.00 , $ 0.00
02/09/2020, 20:18:28.656 , DEPOSIT , $0.00 , $5.00
02/09/2020, 20:18:36.255 , DEPOSIT , $5.00 , $7.00
02/09/2020, 20:19:11.880 , DEPOSIT , $7.00 , $9.00
02/09/2020, 20:20:40.602,BOOT UP, $0.00 , $ 0.00
02/09/2020, 20:21:22.349,BOOT UP, $0.00 , $ 0.00
02/09/2020, 20:21:29.788 , DEPOSIT , $0.00 , $2.00
02/09/2020, 20:23:00.679,BOOT UP, $0.00 , $ 0.00
02/09/2020, 20:23:07.807 , DEPOSIT , $0.00 , $2.00
02/09/2020, 20:23:15.399 , U-Chews , $2.00 , $1.15
02/09/2020, 20:23:20.744 , GIVE CHANGE , $1.15 , $0.00
02/09/2020, 20:52:36.152,BOOT UP, $0.00 , $ 0.00
02/09/2020, 20:53:18.634,BOOT UP, $0.00 , $ 0.00
02/09/2020, 21:06:46.280,BOOT UP, $0.00 , $ 0.00
02/09/2020, 21:07:29.798,BOOT UP, $0.00 , $ 0.00
02/09/2020, 21:08:59.481,BOOT UP, $0.00 , $ 0.00
02/09/2020, 21:10:16.298,BOOT UP, $0.00 , $ 0.00
02/09/2020, 21:11:17.632,BOOT UP, $0.00 , $ 0.00
02/09/2020, 21:11:31.917 , DEPOSIT , $0.00 , $10.00
02/09/2020, 21:11:37.750 , Grain Waves , $10.00 , $7.25
02/09/2020, 21:12:07.125 , U-Chews , $7.25 , $6.40
02/09/2020, 21:12:09.776 , U-Chews , $6.40 , $5.55
02/09/2020, 21:12:12.329 , U-Chews , $5.55 , $4.70
02/09/2020, 21:12:15.268 , Potato Crisps , $4.70 , $1.65
02/09/2020, 21:12:19.228 , DEPOSIT , $1.65 , $11.65
02/09/2020, 21:12:21.368 , Heavy , $11.65 , $10.15
02/09/2020, 21:12:26.891 , U-Chews , $10.15 , $9.30
02/09/2020, 21:12:30.458 , Heavy , $9.30 , $7.80
02/09/2020, 21:12:34.067 , U-Chews , $7.80 , $6.95
02/09/2020, 21:12:44.212 , Cloud Popcorn , $6.95 , $3.30
02/09/2020, 21:12:46.179 , Moonpie , $3.30 , $1.50
02/09/2020, 21:13:05.452 , Little League Chew , $1.50 , $0.55
02/09/2020, 21:13:11.184 , GIVE CHANGE , $0.55 , $0.00
02/09/2020, 21:16:29.147,BOOT UP, $0.00 , $ 0.00
02/09/2020, 21:35:45.789,BOOT UP, $0.00 , $ 0.00
02/09/2020, 21:35:52.479 , DEPOSIT , $0.00 , $5.00
02/09/2020, 21:35:55.929 , DEPOSIT , $5.00 , $15.00
02/09/2020, 21:38:51.359,BOOT UP, $0.00 , $ 0.00
02/09/2020, 21:38:56.100 , DEPOSIT , $0.00 , $5.00
02/09/2020, 21:39:01.093 , Little League Chew , $5.00 , $4.05
02/09/2020, 21:39:21.675 , Potato Crisps , $4.05 , $1.00
02/12/2020, 15:52:50.398,BOOT UP, $0.00 , $ 0.00
02/12/2020, 15:53:00.787 , DEPOSIT , $0.00 , $2.00
02/12/2020, 15:53:28.614 , Stackers , $2.00 , $0.55
02/12/2020, 15:53:52.238 , DEPOSIT , $0.55 , $10.55
02/12/2020, 15:54:32.019,BOOT UP, $0.00 , $ 0.00
02/12/2020, 15:54:41.555 , DEPOSIT , $0.00 , $5.00
02/12/2020, 15:54:48.662 , U-Chews , $5.00 , $4.15
02/12/2020, 15:54:57.898 , Chiclets , $4.15 , $3.40
02/12/2020, 15:55:08.390 , Little League Chew , $3.40 , $2.45
02/12/2020, 15:55:54.072,BOOT UP, $0.00 , $ 0.00
02/13/2020, 13:21:35.737,BOOT UP, $0.00 , $ 0.00
02/13/2020, 13:21:53.304 , DEPOSIT , $0.00 , $5.00
02/13/2020, 13:22:21.581 , Potato Crisps , $5.00 , $1.95
02/13/2020, 13:22:54.282,BOOT UP, $0.00 , $ 0.00
02/13/2020, 13:23:38.932 , DEPOSIT , $0.00 , $2.00
02/13/2020, 13:23:38.938 , TestChip , $5.00 , $4.00
02/13/2020, 13:23:38.944 , GIVE CHANGE , $0.40 , $0.00
02/13/2020, 13:23:59.449,BOOT UP, $0.00 , $ 0.00
02/13/2020, 13:24:08.616 , DEPOSIT , $0.00 , $2.00
02/13/2020, 13:24:08.622 , TestChip , $5.00 , $4.00
02/13/2020, 13:24:08.629 , GIVE CHANGE , $0.40 , $0.00
02/13/2020, 13:24:13.947 , DEPOSIT , $0.00 , $2.00
02/13/2020, 13:24:13.954 , TestChip , $5.00 , $4.00
02/13/2020, 13:24:13.960 , GIVE CHANGE , $0.40 , $0.00
